,Itemset Number,Itemset,Support
0,1,CPU,266
1,1,CPU Cooler,244
2,1,Case,245
3,1,Cooling Fan,248
4,1,External HDD,250
5,1,GPU,238
6,1,Graphics Tablet,228
7,1,HDD,259
8,1,Headset,247
9,1,Keyboard,239
10,1,Monitor,224
11,1,Motherboard,258
12,1,Mouse,255
13,1,Network Card,239
14,1,Optical Drive,250
15,1,Power Supply,236
16,1,RAM,234
17,1,RGB Lighting,242
18,1,SSD,247
19,1,Sound Card,284
20,1,Speakers,249
21,1,Surge Protector,260
22,1,Thermal Paste,253
23,1,UPS,250
24,1,USB Hub,248
25,1,Webcam,229
26,2,"('CPU', 'CPU Cooler')",68
27,2,"('CPU', 'Case')",68
28,2,"('CPU', 'Cooling Fan')",67
29,2,"('CPU', 'External HDD')",65
30,2,"('CPU', 'GPU')",67
31,2,"('CPU', 'Graphics Tablet')",62
32,2,"('CPU', 'HDD')",57
33,2,"('CPU', 'Headset')",66
34,2,"('CPU', 'Keyboard')",71
35,2,"('CPU', 'Monitor')",70
36,2,"('CPU', 'Motherboard')",72
37,2,"('CPU', 'Mouse')",68
38,2,"('CPU', 'Network Card')",71
39,2,"('CPU', 'Optical Drive')",67
40,2,"('CPU', 'Power Supply')",65
41,2,"('CPU', 'RAM')",56
42,2,"('CPU', 'RGB Lighting')",79
43,2,"('CPU', 'SSD')",67
44,2,"('CPU', 'Sound Card')",84
45,2,"('CPU', 'Speakers')",72
46,2,"('CPU', 'Surge Protector')",69
47,2,"('CPU', 'Thermal Paste')",53
48,2,"('CPU', 'UPS')",62
49,2,"('CPU', 'USB Hub')",69
50,2,"('CPU', 'Webcam')",57
51,2,"('CPU Cooler', 'Case')",62
52,2,"('CPU Cooler', 'Cooling Fan')",61
53,2,"('CPU Cooler', 'External HDD')",66
54,2,"('CPU Cooler', 'GPU')",59
55,2,"('CPU Cooler', 'Graphics Tablet')",51
56,2,"('CPU Cooler', 'HDD')",59
57,2,"('CPU Cooler', 'Headset')",60
58,2,"('CPU Cooler', 'Keyboard')",58
59,2,"('CPU Cooler', 'Monitor')",57
60,2,"('CPU Cooler', 'Motherboard')",64
61,2,"('CPU Cooler', 'Mouse')",71
62,2,"('CPU Cooler', 'Network Card')",59
63,2,"('CPU Cooler', 'Optical Drive')",61
64,2,"('CPU Cooler', 'Power Supply')",49
65,2,"('CPU Cooler', 'RAM')",63
66,2,"('CPU Cooler', 'RGB Lighting')",56
67,2,"('CPU Cooler', 'SSD')",63
68,2,"('CPU Cooler', 'Sound Card')",70
69,2,"('CPU Cooler', 'Speakers')",59
70,2,"('CPU Cooler', 'Surge Protector')",67
71,2,"('CPU Cooler', 'Thermal Paste')",62
72,2,"('CPU Cooler', 'UPS')",55
73,2,"('CPU Cooler', 'USB Hub')",64
74,2,"('CPU Cooler', 'Webcam')",56
75,2,"('Case', 'Cooling Fan')",63
76,2,"('Case', 'External HDD')",56
77,2,"('Case', 'GPU')",56
78,2,"('Case', 'Graphics Tablet')",54
79,2,"('Case', 'HDD')",68
80,2,"('Case', 'Headset')",57
81,2,"('Case', 'Keyboard')",46
82,2,"('Case', 'Monitor')",61
83,2,"('Case', 'Motherboard')",52
84,2,"('Case', 'Mouse')",68
85,2,"('Case', 'Network Card')",58
86,2,"('Case', 'Optical Drive')",49
87,2,"('Case', 'Power Supply')",61
88,2,"('Case', 'RAM')",60
89,2,"('Case', 'RGB Lighting')",59
90,2,"('Case', 'SSD')",69
91,2,"('Case', 'Sound Card')",61
92,2,"('Case', 'Speakers')",57
93,2,"('Case', 'Surge Protector')",66
94,2,"('Case', 'Thermal Paste')",65
95,2,"('Case', 'UPS')",67
96,2,"('Case', 'USB Hub')",64
97,2,"('Case', 'Webcam')",59
98,2,"('Cooling Fan', 'External HDD')",68
99,2,"('Cooling Fan', 'GPU')",57
100,2,"('Cooling Fan', 'Graphics Tablet')",66
101,2,"('Cooling Fan', 'HDD')",75
102,2,"('Cooling Fan', 'Headset')",63
103,2,"('Cooling Fan', 'Keyboard')",50
104,2,"('Cooling Fan', 'Monitor')",63
105,2,"('Cooling Fan', 'Motherboard')",65
106,2,"('Cooling Fan', 'Mouse')",69
107,2,"('Cooling Fan', 'Network Card')",79
108,2,"('Cooling Fan', 'Optical Drive')",76
109,2,"('Cooling Fan', 'Power Supply')",61
110,2,"('Cooling Fan', 'RAM')",56
111,2,"('Cooling Fan', 'RGB Lighting')",66
112,2,"('Cooling Fan', 'SSD')",64
113,2,"('Cooling Fan', 'Sound Card')",67
114,2,"('Cooling Fan', 'Speakers')",57
115,2,"('Cooling Fan', 'Surge Protector')",72
116,2,"('Cooling Fan', 'Thermal Paste')",62
117,2,"('Cooling Fan', 'UPS')",49
118,2,"('Cooling Fan', 'USB Hub')",66
119,2,"('Cooling Fan', 'Webcam')",65
120,2,"('External HDD', 'GPU')",66
121,2,"('External HDD', 'Graphics Tablet')",53
122,2,"('External HDD', 'HDD')",71
123,2,"('External HDD', 'Headset')",74
124,2,"('External HDD', 'Keyboard')",64
125,2,"('External HDD', 'Monitor')",52
126,2,"('External HDD', 'Motherboard')",69
127,2,"('External HDD', 'Mouse')",64
128,2,"('External HDD', 'Network Card')",62
129,2,"('External HDD', 'Optical Drive')",66
130,2,"('External HDD', 'Power Supply')",64
131,2,"('External HDD', 'RAM')",62
132,2,"('External HDD', 'RGB Lighting')",60
133,2,"('External HDD', 'SSD')",64
134,2,"('External HDD', 'Sound Card')",58
135,2,"('External HDD', 'Speakers')",71
136,2,"('External HDD', 'Surge Protector')",66
137,2,"('External HDD', 'Thermal Paste')",71
138,2,"('External HDD', 'UPS')",67
139,2,"('External HDD', 'USB Hub')",61
140,2,"('External HDD', 'Webcam')",51
141,2,"('GPU', 'Graphics Tablet')",54
142,2,"('GPU', 'HDD')",58
143,2,"('GPU', 'Headset')",55
144,2,"('GPU', 'Keyboard')",53
145,2,"('GPU', 'Monitor')",58
146,2,"('GPU', 'Motherboard')",65
147,2,"('GPU', 'Mouse')",61
148,2,"('GPU', 'Network Card')",64
149,2,"('GPU', 'Optical Drive')",57
150,2,"('GPU', 'Power Supply')",56
151,2,"('GPU', 'RAM')",55
152,2,"('GPU', 'RGB Lighting')",53
153,2,"('GPU', 'SSD')",58
154,2,"('GPU', 'Sound Card')",82
155,2,"('GPU', 'Speakers')",71
156,2,"('GPU', 'Surge Protector')",64
157,2,"('GPU', 'Thermal Paste')",50
158,2,"('GPU', 'UPS')",66
159,2,"('GPU', 'USB Hub')",52
160,2,"('GPU', 'Webcam')",62
161,2,"('Graphics Tablet', 'HDD')",57
162,2,"('Graphics Tablet', 'Headset')",56
163,2,"('Graphics Tablet', 'Keyboard')",57
164,2,"('Graphics Tablet', 'Monitor')",49
165,2,"('Graphics Tablet', 'Motherboard')",68
166,2,"('Graphics Tablet', 'Mouse')",56
167,2,"('Graphics Tablet', 'Network Card')",53
168,2,"('Graphics Tablet', 'Optical Drive')",60
169,2,"('Graphics Tablet', 'Power Supply')",57
170,2,"('Graphics Tablet', 'RAM')",46
171,2,"('Graphics Tablet', 'RGB Lighting')",51
172,2,"('Graphics Tablet', 'SSD')",57
173,2,"('Graphics Tablet', 'Sound Card')",58
174,2,"('Graphics Tablet', 'Speakers')",55
175,2,"('Graphics Tablet', 'Surge Protector')",57
176,2,"('Graphics Tablet', 'Thermal Paste')",60
177,2,"('Graphics Tablet', 'UPS')",49
178,2,"('Graphics Tablet', 'USB Hub')",60
179,2,"('Graphics Tablet', 'Webcam')",63
180,2,"('HDD', 'Headset')",64
181,2,"('HDD', 'Keyboard')",55
182,2,"('HDD', 'Monitor')",49
183,2,"('HDD', 'Motherboard')",52
184,2,"('HDD', 'Mouse')",67
185,2,"('HDD', 'Network Card')",62
186,2,"('HDD', 'Optical Drive')",69
187,2,"('HDD', 'Power Supply')",54
188,2,"('HDD', 'RAM')",69
189,2,"('HDD', 'RGB Lighting')",70
190,2,"('HDD', 'SSD')",63
191,2,"('HDD', 'Sound Card')",73
192,2,"('HDD', 'Speakers')",59
193,2,"('HDD', 'Surge Protector')",71
194,2,"('HDD', 'Thermal Paste')",65
195,2,"('HDD', 'UPS')",65
196,2,"('HDD', 'USB Hub')",67
197,2,"('HDD', 'Webcam')",65
198,2,"('Headset', 'Keyboard')",70
199,2,"('Headset', 'Monitor')",47
200,2,"('Headset', 'Motherboard')",66
201,2,"('Headset', 'Mouse')",65
202,2,"('Headset', 'Network Card')",64
203,2,"('Headset', 'Optical Drive')",67
204,2,"('Headset', 'Power Supply')",58
205,2,"('Headset', 'RAM')",56
206,2,"('Headset', 'RGB Lighting')",66
207,2,"('Headset', 'SSD')",58
208,2,"('Headset', 'Sound Card')",65
209,2,"('Headset', 'Speakers')",62
210,2,"('Headset', 'Surge Protector')",58
211,2,"('Headset', 'Thermal Paste')",67
212,2,"('Headset', 'UPS')",74
213,2,"('Headset', 'USB Hub')",62
214,2,"('Headset', 'Webcam')",57
215,2,"('Keyboard', 'Monitor')",55
216,2,"('Keyboard', 'Motherboard')",61
217,2,"('Keyboard', 'Mouse')",62
218,2,"('Keyboard', 'Network Card')",58
219,2,"('Keyboard', 'Optical Drive')",64
220,2,"('Keyboard', 'Power Supply')",59
221,2,"('Keyboard', 'RAM')",62
222,2,"('Keyboard', 'RGB Lighting')",55
